127.0.0.1 - - [10/Aug/2018:12:45:16 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:19 +0530] "GET /Ecommerce/ HTTP/1.1" 200 8008
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:19 +0530] "GET /Ecommerce/resources/css/signstyle.css;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:19 +0530] "GET /Ecommerce/resources/css/homestyle.css;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:19 +0530] "GET /Ecommerce/resources/css/dropstyle.css;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:19 +0530] "GET /Ecommerce/resources/js/jquery.1.10.2.min.js;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:19 +0530] "GET /Ecommerce/resources/js/main.js;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:19 +0530] "GET /Ecommerce/resources/images/imgrc0066024329.jpg;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 200 25564
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:20 +0530] "GET /Ecommerce/resources/images/images.png;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 200 6528
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:20 +0530] "GET /Ecommerce/resources/images/sugar-denim-banner-1_2000x.png;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 200 2824445
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:20 +0530] "GET /Ecommerce/resources/images/sugar-denim-banner-3_cc18bb61-ec68-4b09-8248-041161e7e87b_2000x.png;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 200 4179605
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:20 +0530] "GET /Ecommerce/resources/images/New-2018-Fashion-Men-Denim-Jacket-Brand-Clothing-100-Cotton-Casual-Mens-Jean-Jacket-Dark-Blue_large.jpg;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 200 38101
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:20 +0530] "GET /Ecommerce/resources/images/product-image-693837121_large.jpg;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 200 61982
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:20 +0530] "GET /Ecommerce/resources/images/product-image-227961279_large.jpg;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 200 31591
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:20 +0530] "GET /Ecommerce/resources/images/product-image-709954184_600x.jpg;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 200 66417
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:20 +0530] "GET /Ecommerce/resources/images/product-image-581182055_600x.jpg;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 200 57728
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:20 +0530] "GET /Ecommerce/resources/images/product-image-709905729_600x.jpg;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 200 53457
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:20 +0530] "GET /Ecommerce/resources/images/product-image-709901460_600x.jpg;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 200 51262
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:20 +0530] "GET /Ecommerce/resources/images/product-image-709897162_600x.jpg;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 200 82936
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:20 +0530] "GET /Ecommerce/resources/images/Sugar_Denim_Banner_2_2000x.png;jsessionid=6C1FB81DEF7305C10851F4518BA9A134 HTTP/1.1" 200 3265621
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:24 +0530] "GET /Ecommerce/category HTTP/1.1" 200 3863
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:24 +0530] "GET /Ecommerce/resources/css/dropstyle.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:24 +0530] "GET /Ecommerce/resources/js/jquery.1.10.2.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [10/Aug/2018:12:45:24 +0530] "GET /Ecommerce/resources/js/main.js HTTP/1.1" 404 1047
